bag_time_ns,bag_time_sec,header.stamp.sec,header.stamp.nanosec,header.frame_id,raw_count,voltage_mv,force_n
1780471468536382968,1780471468.536382914,1780471468,535913535,load_cell,819,0.003832135728542921,1.0847626606786438
1780471468546323055,1780471468.546323061,1780471468,545916729,load_cell,819,0.003832135728542921,1.0847626606786438
1780471468556539892,1780471468.556539774,1780471468,555893938,load_cell,-1523,-0.007067864271457079,-2.000700339321355
1780471468566400807,1780471468.566400766,1780471468,565899628,load_cell,2983,0.01393213572854292,3.943769660678642
1780471468576463012,1780471468.576462984,1780471468,575911878,load_cell,2983,0.01393213572854292,3.943769660678642
1780471468586391098,1780471468.586391211,1780471468,585898784,load_cell,2447,0.01143213572854292,3.236094660678644
1780471468596389908,1780471468.596390009,1780471468,595924283,load_cell,2447,0.01143213572854292,3.236094660678644
1780471468606281480,1780471468.606281519,1780471468,605908436,load_cell,3563,0.01663213572854292,4.708058660678644
1780471468616617652,1780471468.616617680,1780471468,615920654,load_cell,3563,0.01663213572854292,4.708058660678644
1780471468626218424,1780471468.626218319,1780471468,625897607,load_cell,2952,0.013732135728542922,3.887155660678646
1780471468636423261,1780471468.636423349,1780471468,635919650,load_cell,2952,0.013732135728542922,3.887155660678646
1780471468646512892,1780471468.646512985,1780471468,645902587,load_cell,1457,0.00683213572854292,1.9339726606786432
1780471468656661886,1780471468.656661987,1780471468,655910613,load_cell,1457,0.00683213572854292,1.9339726606786432
1780471468666338726,1780471468.666338682,1780471468,665921040,load_cell,37,0.0001321357285429224,0.03740366067864542
1780471468676492744,1780471468.676492691,1780471468,675923530,load_cell,-1313,-0.006067864271457078,-1.7176303393213548
1780471468686638154,1780471468.686638117,1780471468,685926020,load_cell,-2643,-0.012267864271457082,-3.4726643393213568
1780471468696317075,1780471468.696316957,1780471468,695899868,load_cell,-4335,-0.02016786427145708,-5.708917339321356
1780471468706463892,1780471468.706463814,1780471468,705918679,load_cell,-7252,-0.033767864271457074,-9.558669339321353
