t,cmd_vx,odom_vx,force_n,encoder_rpm
25.38,0.5001154281092001,0.8338270422394687,-5.670237182894501,0.0
25.400000000000002,0.5001061801633916,0.8756553891133507,-6.614741339321355,0.0
25.42,0.5000977647446506,0.8944915196342931,0.8930473472424928,0.0
25.44,0.5000898603608732,0.8852238489792479,2.415191660678646,0.0
25.46,0.5000826984561879,0.8755369375870643,12.917088660678646,0.0
25.48,0.5000760570009718,0.8873848081706781,10.737449660678644,0.0
25.5,0.5000699799995912,0.90041255448129,12.599814111432083,0.0
25.52,0.5003990348115551,0.8956984180095439,6.512023484227416,0.0
25.54,0.5003931084425625,0.9141222737832723,1.0337808838564466,0.0
25.560000000000002,0.5003617583391352,0.9512876087309873,0.9446192737585563,0.0
25.580000000000002,0.5003330564489525,0.9662670361803541,1.2407224891574413,0.0
25.6,0.5003061609065098,0.9257705894992457,11.003671363930104,0.0
25.62,0.5016385414460385,0.9213191634480891,18.715980088788495,0.0
25.64,0.5031822866528909,0.9435999928155684,13.384833728944734,0.0
25.66,0.5066265044085785,0.9478796108683453,18.05869199605978,0.0
25.68,0.5102233858552622,0.9582491087853556,6.348108765582435,0.0
25.7,0.5127141588773882,0.9716822890449616,-1.0422576505919396,0.0
25.72,0.5134300675386871,1.0053798754914394,-0.6563970897019323,0.0
25.740000000000002,0.5148160793108412,1.0137844439550256,11.28994735789922,0.0
25.76,0.5168137019208906,0.9991572892516067,10.539965801788528,0.0
25.78,0.5189824067199595,0.9756900495686832,13.52245085733059,0.0
25.8,0.521426617648482,0.9786039981979773,6.944115140435729,0.0
25.82,0.5233878808154385,0.9799143930446701,2.788513796831076,0.0
25.84,0.5239438782964919,0.9673286448419517,-6.122391659424976,0.0
25.86,0.5223126427394388,0.9754091435863076,-12.780468753803648,0.0
25.88,0.5205389593996437,1.0023267291696245,-7.666185136900949,0.0
25.900000000000002,0.5188937900586591,1.004685016430989,-10.258655638807882,0.0
25.92,0.5173732518451506,0.9387044631483532,1.235394677012654,0.0
25.94,0.5159792566367021,0.8821630362834837,8.62002035323767,0.0
25.96,0.5147081135339224,0.888736398684608,1.6032680192080861,0.0
25.98,0.5135257077650021,0.9016847283077054,5.539711522309881,0.0
26.0,0.5124417791648346,0.9012124699976991,-6.4390186597438905,0.0
26.02,0.5114493552774433,0.9087286754752222,-13.811659718638683,0.0
26.04,0.5105329040144225,0.926813461983063,-10.662326308188117,0.0
26.060000000000002,0.5096903496010443,0.9241681596798337,-7.3676155915535535,0.0
26.080000000000002,0.5089144619016753,0.9038475876782126,-4.454114151903084,0.0
26.1,0.5082014202327253,0.8901348088687262,7.067646632299693,0.0
26.12,0.5075476040920538,0.9050875114889629,-3.350231622790991,0.0
26.14,0.5069440233474357,0.9138687625207554,3.757884931935399,0.0
26.16,0.506388017199094,0.9109887794254227,-6.200018337941726,0.0
26.18,0.5058855980961239,0.9185651653869702,-13.945659979739146,0.0
26.2,0.5054086134530924,0.9429128809062034,-7.729034467100354,0.0
26.22,0.5049768943863481,0.9460035660723833,-7.573100101565599,0.0
26.240000000000002,0.5045761927732868,0.9239947504294751,9.88829901759975,0.0
26.26,0.5042105681775939,0.8922402651175366,6.184274338153148,0.0
26.28,0.5038724899931731,0.8970458804821488,2.007553071539709,0.0
26.3,0.503563208122931,0.8974159767644283,3.9070777650114716,0.0
26.32,0.5032785472116671,0.8911048728136938,-9.981754703168875,0.0
26.34,0.5030160670270645,0.8957845384529642,-16.13854340555046,0.0
26.36,0.502774828751498,0.9204896432328479,-10.341644490804796,0.0
26.38,0.5024461348635301,0.9253559761354866,-11.57005651982067,0.0
26.400000000000002,0.5021166520791112,0.9155459060209111,-7.019083719709411,0.0
26.42,0.5016319998996722,0.9016336239474564,-3.2356324079493235,0.0
26.44,0.5011807784658561,0.8950010355624369,-5.395838745617283,0.0
26.46,0.500916869032271,0.8893124820662014,-5.597139678147266,0.0
26.48,0.49998489564514,0.8754188587441655,-12.600032916053594,0.0
26.5,0.4977897788757881,0.8752737875081734,-19.49771359938667,0.0
26.52,0.4945648318970682,0.8890325813712123,-18.106166712163038,0.0
26.54,0.49085844180644433,0.8955750112120897,-12.83586357958824,0.0
