bag_time_ns,bag_time_sec,header.stamp.sec,header.stamp.nanosec,header.frame_id,angle_deg,rev,rpm
1780471663776903636,1780471663.776903629,1780471663,776568514,encoder,0.0,0.0,0
1780471663787058406,1780471663.787058353,1780471663,786604045,encoder,0.0,0.0,0
1780471663796925737,1780471663.796925783,1780471663,796564245,encoder,0.0,0.0,0
1780471663807007991,1780471663.807008028,1780471663,806581247,encoder,0.0,0.0,0
1780471663816813397,1780471663.816813469,1780471663,816545799,encoder,0.0,0.0,0
1780471663826848033,1780471663.826848030,1780471663,826556657,encoder,0.0,0.0,0
1780471663836970289,1780471663.836970329,1780471663,836564379,encoder,0.0,0.0,0
1780471663846883638,1780471663.846883535,1780471663,846566149,encoder,0.0,0.0,0
1780471663857045961,1780471663.857045889,1780471663,856578447,encoder,0.0,0.0,0
1780471663866902250,1780471663.866902351,1780471663,866569816,encoder,0.0,0.0,0
1780471663876882163,1780471663.876882076,1780471663,876566401,encoder,0.0,0.0,0
1780471663886905438,1780471663.886905432,1780471663,886566667,encoder,0.0,0.0,0
1780471663896908231,1780471663.896908283,1780471663,896568533,encoder,0.0,0.0,0
1780471663906866767,1780471663.906866789,1780471663,906560414,encoder,0.0,0.0,0
1780471663916963102,1780471663.916963100,1780471663,916567720,encoder,0.0,0.0,0
1780471663928628163,1780471663.928628206,1780471663,926609588,encoder,0.0,0.0,0
1780471663941417159,1780471663.941417217,1780471663,940716545,encoder,0.0,0.0,0
1780471663947018205,1780471663.947018147,1780471663,946595014,encoder,0.0,0.0,0
1780471663957075530,1780471663.957075596,1780471663,956587087,encoder,0.0,0.0,0
1780471663968240852,1780471663.968240738,1780471663,967371236,encoder,0.0,0.0,0
1780471663977149825,1780471663.977149725,1780471663,976583586,encoder,0.0,0.0,0
1780471663986960128,1780471663.986960173,1780471663,986574347,encoder,0.0,0.0,0
1780471663997064752,1780471663.997064829,1780471663,996594422,encoder,0.0,0.0,0
1780471664006942067,1780471664.006942034,1780471664,6583199,encoder,0.0,0.0,0
1780471664016954237,1780471664.016954184,1780471664,16575336,encoder,0.0,0.0,0
1780471664026901828,1780471664.026901722,1780471664,26599315,encoder,0.0,0.0,0
1780471664036931759,1780471664.036931753,1780471664,36573339,encoder,0.0,0.0,0
1780471664046971995,1780471664.046972036,1780471664,46607431,encoder,0.0,0.0,0
1780471664056889024,1780471664.056889057,1780471664,56570286,encoder,0.0,0.0,0
1780471664066971950,1780471664.066972017,1780471664,66577528,encoder,0.0,0.0,0
1780471664076929973,1780471664.076930046,1780471664,76577442,encoder,0.0,0.0,0
1780471664086929759,1780471664.086929798,1780471664,86579628,encoder,0.0,0.0,0
1780471664097043375,1780471664.097043276,1780471664,96594102,encoder,0.0,0.0,0
1780471664106919058,1780471664.106919050,1780471664,106578527,encoder,0.0,0.0,0
1780471664117183434,1780471664.117183447,1780471664,116609674,encoder,0.0,0.0,0
1780471664126907460,1780471664.126907349,1780471664,126581426,encoder,0.0,0.0,0
1780471664136938896,1780471664.136938810,1780471664,136582108,encoder,0.0,0.0,0
1780471664147125380,1780471664.147125483,1780471664,146599975,encoder,0.0,0.0,0
1780471664157033352,1780471664.157033443,1780471664,156578735,encoder,0.0,0.0,0
1780471664166980687,1780471664.166980743,1780471664,166614683,encoder,0.0,0.0,0
1780471664176884371,1780471664.176884413,1780471664,176577026,encoder,0.0,0.0,0
1780471664187033509,1780471664.187033415,1780471664,186605197,encoder,0.0,0.0,0
1780471664196882662,1780471664.196882725,1780471664,196588406,encoder,0.0,0.0,0
1780471664206981910,1780471664.206981897,1780471664,206588640,encoder,0.0,0.0,0
1780471664217038082,1780471664.217038155,1780471664,216594378,encoder,0.0,0.0,0
1780471664226895332,1780471664.226895332,1780471664,226585811,encoder,0.0,0.0,0
1780471664237026133,1780471664.237026215,1780471664,236604158,encoder,0.0,0.0,0
1780471664247059936,1780471664.247059822,1780471664,246586758,encoder,0.0,0.0,0
1780471664257061962,1780471664.257061958,1780471664,256612049,encoder,0.0,0.0,0
1780471664266847144,1780471664.266847134,1780471664,266580441,encoder,0.0,0.0,0
1780471664276978681,1780471664.276978731,1780471664,276583875,encoder,0.0,0.0,0
1780471664286955265,1780471664.286955357,1780471664,286599181,encoder,0.0,0.0,0
1780471664296935786,1780471664.296935797,1780471664,296574454,encoder,0.0,0.0,0
1780471664306968885,1780471664.306968927,1780471664,306604545,encoder,0.0,0.0,0
1780471664316892059,1780471664.316892147,1780471664,316580361,encoder,0.0,0.0,0
1780471664326979977,1780471664.326979876,1780471664,326609461,encoder,0.0,0.0,0
1780471664336903086,1780471664.336903095,1780471664,336586749,encoder,0.0,0.0,0
1780471664346898904,1780471664.346898794,1780471664,346588007,encoder,0.0,0.0,0
1780471664357212371,1780471664.357212305,1780471664,356596273,encoder,0.0,0.0,0
