bag_time_ns,bag_time_sec,header.stamp.sec,header.stamp.nanosec,header.frame_id,switch_1,switch_2
1780471546420553814,1780471546.420553923,1780471546,420134239,switch,False,False
1780471546430411695,1780471546.430411577,1780471546,430117343,switch,False,False
1780471546440638429,1780471546.440638542,1780471546,440150883,switch,False,False
1780471546450492663,1780471546.450492620,1780471546,450135012,switch,False,False
1780471546460825803,1780471546.460825920,1780471546,460195209,switch,False,False
1780471546470654371,1780471546.470654488,1780471546,470131367,switch,False,False
1780471546480652741,1780471546.480652809,1780471546,480130504,switch,False,False
1780471546490537120,1780471546.490537167,1780471546,490130794,switch,False,False
1780471546500683402,1780471546.500683308,1780471546,500128555,switch,False,False
1780471546510624360,1780471546.510624409,1780471546,510138445,switch,False,False
1780471546520846614,1780471546.520846605,1780471546,520137007,switch,False,False
1780471546531103877,1780471546.531103849,1780471546,530279832,switch,False,False
1780471546540593003,1780471546.540592909,1780471546,540146515,switch,False,False
1780471546550762006,1780471546.550761938,1780471546,550128851,switch,False,False
1780471546560593070,1780471546.560593128,1780471546,560139926,switch,False,False
1780471546570539117,1780471546.570539236,1780471546,570131479,switch,False,False
1780471546580652533,1780471546.580652475,1780471546,580171995,switch,False,False
1780471546590682712,1780471546.590682745,1780471546,590129274,switch,False,False
1780471546600960073,1780471546.600960016,1780471546,600147068,switch,False,False
1780471546610670427,1780471546.610670328,1780471546,610139326,switch,False,False
1780471546620640571,1780471546.620640516,1780471546,620127647,switch,False,False
1780471546632003207,1780471546.632003307,1780471546,630134593,switch,False,False
1780471546640948655,1780471546.640948772,1780471546,640144707,switch,False,False
1780471546650545082,1780471546.650545120,1780471546,650153477,switch,False,False
1780471546661261091,1780471546.661261082,1780471546,660151686,switch,False,False
1780471546670888720,1780471546.670888662,1780471546,670146152,switch,False,False
1780471546681342539,1780471546.681342602,1780471546,680176939,switch,False,False
1780471546690974616,1780471546.690974712,1780471546,690189101,switch,False,False
1780471546700725612,1780471546.700725555,1780471546,700122955,switch,False,False
1780471546711050720,1780471546.711050749,1780471546,710151598,switch,False,False
1780471546720468033,1780471546.720468044,1780471546,720128367,switch,False,False
1780471546730506757,1780471546.730506659,1780471546,730179123,switch,False,False
1780471546740569642,1780471546.740569592,1780471546,740132914,switch,False,False
1780471546750838074,1780471546.750838041,1780471546,750131636,switch,False,False
1780471546760922625,1780471546.760922670,1780471546,760175960,switch,False,False
1780471546770482794,1780471546.770482779,1780471546,770141912,switch,False,False
1780471546781721711,1780471546.781721592,1780471546,780896994,switch,False,False
1780471546790825120,1780471546.790825129,1780471546,790169500,switch,False,False
1780471546800712156,1780471546.800712109,1780471546,800145981,switch,False,False
1780471546811067377,1780471546.811067343,1780471546,810169856,switch,False,False
1780471546820791587,1780471546.820791483,1780471546,820143360,switch,False,False
1780471546830722593,1780471546.830722570,1780471546,830144481,switch,False,False
1780471546840713346,1780471546.840713263,1780471546,840137155,switch,False,False
1780471546850823082,1780471546.850823164,1780471546,850145125,switch,False,False
1780471546860810059,1780471546.860810041,1780471546,860131078,switch,False,False
1780471546870705255,1780471546.870705366,1780471546,870149576,switch,False,False
1780471546880882706,1780471546.880882740,1780471546,880153098,switch,False,False
1780471546890885812,1780471546.890885830,1780471546,890244977,switch,False,False
1780471546900787664,1780471546.900787592,1780471546,900156909,switch,False,False
1780471546910972540,1780471546.910972595,1780471546,910153647,switch,False,False
1780471546920670765,1780471546.920670748,1780471546,920141520,switch,False,False
1780471546930788693,1780471546.930788755,1780471546,930142673,switch,False,False
1780471546940886908,1780471546.940886974,1780471546,940136275,switch,False,False
1780471546950589549,1780471546.950589657,1780471546,950151285,switch,False,False
1780471546960725494,1780471546.960725546,1780471546,960137974,switch,False,False
1780471546970906882,1780471546.970906973,1780471546,970158649,switch,False,False
1780471546980758907,1780471546.980758905,1780471546,980153914,switch,False,False
1780471546991017003,1780471546.991017103,1780471546,990154588,switch,False,False
1780471547000808801,1780471547.000808716,1780471547,153821,switch,False,False
1780471547010704253,1780471547.010704279,1780471547,10156543,switch,False,False
1780471547020812485,1780471547.020812511,1780471547,20154145,switch,False,False
1780471547030669247,1780471547.030669212,1780471547,30154338,switch,False,False
1780471547040928686,1780471547.040928602,1780471547,40158148,switch,False,False
1780471547050864109,1780471547.050864220,1780471547,50162150,switch,False,False
1780471547061180704,1780471547.061180592,1780471547,60162216,switch,False,False
1780471547070632931,1780471547.070632935,1780471547,70159498,switch,False,False
1780471547080875314,1780471547.080875397,1780471547,80471260,switch,False,False
1780471547090709451,1780471547.090709448,1780471547,90155053,switch,False,False
1780471547100701164,1780471547.100701094,1780471547,100166959,switch,False,False
1780471547110739600,1780471547.110739708,1780471547,110163761,switch,False,False
1780471547120777012,1780471547.120777130,1780471547,120173939,switch,False,False
1780471547130982433,1780471547.130982399,1780471547,130159348,switch,False,False
1780471547140945760,1780471547.140945673,1780471547,140157333,switch,False,False
1780471547150682100,1780471547.150682211,1780471547,150163607,switch,False,False
1780471547160713335,1780471547.160713434,1780471547,160148248,switch,False,False
1780471547170584946,1780471547.170584917,1780471547,170149978,switch,False,False
1780471547181628812,1780471547.181628704,1780471547,180169565,switch,False,False
1780471547190669882,1780471547.190669775,1780471547,190155294,switch,False,False
1780471547200984429,1780471547.200984478,1780471547,200175553,switch,False,False
1780471547210860680,1780471547.210860729,1780471547,210169314,switch,False,False
1780471547220768260,1780471547.220768213,1780471547,220167427,switch,False,False
1780471547230519320,1780471547.230519295,1780471547,230165637,switch,False,False
1780471547240718373,1780471547.240718365,1780471547,240159942,switch,False,False
1780471547250598048,1780471547.250597954,1780471547,250148584,switch,False,False
1780471547261580247,1780471547.261580229,1780471547,260255503,switch,False,False
1780471547270822928,1780471547.270823002,1780471547,270170124,switch,False,False
1780471547281334637,1780471547.281334639,1780471547,280190223,switch,False,False
1780471547290646441,1780471547.290646553,1780471547,290180752,switch,False,False
1780471547301251436,1780471547.301251411,1780471547,300185682,switch,False,False
1780471547311904242,1780471547.311904192,1780471547,310164339,switch,False,False
1780471547320597228,1780471547.320597172,1780471547,320173877,switch,False,False
1780471547330616911,1780471547.330616951,1780471547,330178711,switch,False,False
1780471547340686868,1780471547.340686798,1780471547,340179288,switch,False,False
1780471547350750393,1780471547.350750446,1780471547,350186459,switch,False,False
1780471547360730874,1780471547.360730886,1780471547,360160123,switch,False,False
1780471547370856227,1780471547.370856285,1780471547,370200319,switch,False,False
1780471547380815810,1780471547.380815744,1780471547,380218241,switch,False,False
