bag_time_ns,bag_time_sec,version_h,version_l,bms_status,soc,current,cycle,bq_ntc,mcu_ntc,cell_vol
1780471464433044726,1780471464.433044672,1,4,1,41,-9333,62,"[43,42]","[36,39]","[3552,3552,32,32,3456,3488,3520,32,32,3488]"
1780471464453001350,1780471464.453001261,1,4,1,41,-9333,62,"[43,42]","[36,39]","[3552,3552,32,32,3456,3488,3520,32,32,3488]"
1780471464473219173,1780471464.473219156,1,4,1,41,-9333,62,"[43,42]","[36,39]","[3552,3552,32,32,3456,3488,3520,32,32,3488]"
1780471464493136755,1780471464.493136644,1,4,1,41,-9333,62,"[43,42]","[36,39]","[3552,3552,32,32,3456,3488,3520,32,32,3488]"
1780471464513213034,1780471464.513212919,1,4,1,41,-9333,62,"[43,42]","[36,39]","[3552,3552,32,32,3456,3488,3520,32,32,3488]"
1780471464533907042,1780471464.533906937,1,4,1,41,-9333,62,"[43,42]","[36,39]","[3552,3552,32,32,3456,3488,3520,32,32,3488]"
1780471464553055463,1780471464.553055525,1,4,1,41,-9333,62,"[43,42]","[36,39]","[3552,3552,32,32,3456,3488,3520,32,32,3488]"
1780471464573064922,1780471464.573064804,1,4,1,41,-9333,62,"[43,42]","[36,39]","[3552,3552,32,32,3456,3488,3520,32,32,3488]"
1780471464593367741,1780471464.593367815,1,4,1,41,-9333,62,"[43,42]","[36,39]","[3552,3552,32,32,3456,3488,3520,32,32,3488]"
1780471464613938159,1780471464.613938093,1,4,1,41,-9333,62,"[43,42]","[36,39]","[3552,3552,32,32,3456,3488,3520,32,32,3488]"
1780471464633130262,1780471464.633130312,1,4,1,41,-8925,62,"[43,42]","[36,39]","[3456,3584,32,32,3456,3552,3552,32,32,3552]"
1780471464653250320,1780471464.653250217,1,4,1,41,-8925,62,"[43,42]","[36,39]","[3456,3584,32,32,3456,3552,3552,32,32,3552]"
1780471464673784383,1780471464.673784494,1,4,1,41,-8925,62,"[43,42]","[36,39]","[3456,3584,32,32,3456,3552,3552,32,32,3552]"
1780471464693046506,1780471464.693046570,1,4,1,41,-8925,62,"[43,42]","[36,39]","[3456,3584,32,32,3456,3552,3552,32,32,3552]"
1780471464712968569,1780471464.712968588,1,4,1,41,-8925,62,"[43,42]","[36,39]","[3456,3584,32,32,3456,3552,3552,32,32,3552]"
1780471464732911433,1780471464.732911348,1,4,1,41,-8925,62,"[43,42]","[36,39]","[3456,3584,32,32,3456,3552,3552,32,32,3552]"
1780471464753642531,1780471464.753642559,1,4,1,41,-8925,62,"[43,42]","[36,39]","[3456,3584,32,32,3456,3552,3552,32,32,3552]"
1780471464773156091,1780471464.773156166,1,4,1,41,-8925,62,"[43,42]","[36,39]","[3456,3584,32,32,3456,3552,3552,32,32,3552]"
1780471464793391131,1780471464.793391228,1,4,1,41,-8925,62,"[43,42]","[36,39]","[3456,3584,32,32,3456,3552,3552,32,32,3552]"
1780471464815475070,1780471464.815474987,1,4,1,41,-8925,62,"[43,42]","[36,39]","[3456,3584,32,32,3456,3552,3552,32,32,3552]"
1780471464832982475,1780471464.832982540,1,4,1,41,-8925,62,"[43,42]","[36,39]","[3456,3584,32,32,3456,3552,3552,32,32,3552]"
1780471464853118917,1780471464.853118896,1,4,1,41,-8925,62,"[43,42]","[36,39]","[3456,3584,32,32,3456,3552,3552,32,32,3552]"
1780471464874011047,1780471464.874011040,1,4,1,41,-8925,62,"[43,42]","[36,39]","[3456,3584,32,32,3456,3552,3552,32,32,3552]"
1780471464893180846,1780471464.893180847,1,4,1,41,-8891,62,"[43,42]","[36,39]","[3456,3552,32,32,3520,3552,3488,32,32,3424]"
1780471464913053082,1780471464.913053036,1,4,1,41,-8891,62,"[43,42]","[36,39]","[3456,3552,32,32,3520,3552,3488,32,32,3424]"
1780471464933236854,1780471464.933236837,1,4,1,41,-8891,62,"[43,42]","[36,39]","[3456,3552,32,32,3520,3552,3488,32,32,3424]"
1780471464953592252,1780471464.953592300,1,4,1,41,-8891,62,"[43,42]","[36,39]","[3456,3552,32,32,3520,3552,3488,32,32,3424]"
1780471464973041681,1780471464.973041773,1,4,1,41,-8891,62,"[43,42]","[36,39]","[3456,3552,32,32,3520,3552,3488,32,32,3424]"
1780471464993334420,1780471464.993334532,1,4,1,41,-8891,62,"[43,42]","[36,39]","[3456,3552,32,32,3520,3552,3488,32,32,3424]"
1780471465013283044,1780471465.013283014,1,4,1,41,-8891,62,"[43,42]","[36,39]","[3456,3552,32,32,3520,3552,3488,32,32,3424]"
1780471465032927012,1780471465.032927036,1,4,1,41,-8891,62,"[43,42]","[36,39]","[3456,3552,32,32,3520,3552,3488,32,32,3424]"
1780471465053471988,1780471465.053472042,1,4,1,41,-8891,62,"[43,42]","[36,39]","[3456,3552,32,32,3520,3552,3488,32,32,3424]"
1780471465073327936,1780471465.073328018,1,4,1,41,-8891,62,"[43,42]","[36,39]","[3456,3552,32,32,3520,3552,3488,32,32,3424]"
1780471465093215853,1780471465.093215942,1,4,1,41,-8891,62,"[43,42]","[36,39]","[3456,3552,32,32,3520,3552,3488,32,32,3424]"
1780471465113047479,1780471465.113047361,1,4,1,41,-8891,62,"[43,42]","[36,39]","[3456,3552,32,32,3520,3552,3488,32,32,3424]"
1780471465133135630,1780471465.133135557,1,4,1,41,-9010,62,"[43,42]","[36,39]","[3456,3584,32,32,3488,3584,3488,32,32,3520]"
1780471465153755299,1780471465.153755188,1,4,1,41,-9010,62,"[43,42]","[36,39]","[3456,3584,32,32,3488,3584,3488,32,32,3520]"
