bag_time_ns,bag_time_sec,data
1780471683908179636,1780471683.908179522,True
1780471683918046711,1780471683.918046713,True
1780471683928030785,1780471683.928030729,True
1780471683938165075,1780471683.938165188,True
1780471683947964530,1780471683.947964430,True
1780471683958209227,1780471683.958209276,True
1780471683967969640,1780471683.967969656,True
1780471683978124507,1780471683.978124619,True
1780471683988054242,1780471683.988054276,True
1780471683998072077,1780471683.998072147,True
1780471684008334727,1780471684.008334637,True
1780471684018021376,1780471684.018021345,True
1780471684028362846,1780471684.028362751,True
1780471684038080761,1780471684.038080692,True
1780471684048200394,1780471684.048200369,True
1780471684058101679,1780471684.058101654,True
1780471684068034806,1780471684.068034887,True
1780471684078516539,1780471684.078516483,True
1780471684087978088,1780471684.087978125,True
1780471684098147452,1780471684.098147392,True
1780471684107939451,1780471684.107939482,True
1780471684118378302,1780471684.118378401,True
1780471684128005140,1780471684.128005028,True
1780471684138138982,1780471684.138139009,True
1780471684147978600,1780471684.147978544,True
1780471684158124219,1780471684.158124208,True
1780471684168079587,1780471684.168079615,True
1780471684178140337,1780471684.178140402,True
1780471684188152028,1780471684.188152075,True
1780471684198128486,1780471684.198128462,True
1780471684208089582,1780471684.208089590,True
1780471684218136316,1780471684.218136311,True
1780471684228104740,1780471684.228104830,True
1780471684238446594,1780471684.238446712,True
1780471684248135132,1780471684.248135090,True
1780471684258322737,1780471684.258322716,True
1780471684268103535,1780471684.268103600,True
1780471684278149020,1780471684.278149128,True
1780471684288011295,1780471684.288011312,True
1780471684298212213,1780471684.298212290,True
1780471684308162845,1780471684.308162928,True
1780471684318182793,1780471684.318182707,True
1780471684328180787,1780471684.328180790,True
1780471684338106010,1780471684.338105917,True
1780471684348239884,1780471684.348239899,True
1780471684358107151,1780471684.358107090,True
1780471684368321126,1780471684.368321180,True
1780471684378247436,1780471684.378247499,True
1780471684388098191,1780471684.388098240,True
1780471684398312933,1780471684.398313046,True
1780471684408086147,1780471684.408086061,True
1780471684418166803,1780471684.418166876,True
1780471684428000628,1780471684.428000689,True
1780471684438266189,1780471684.438266277,True
1780471684448135761,1780471684.448135853,True
1780471684458184286,1780471684.458184242,True
